CUSTOMER,DESTINATION,STORE,DC,NAME
Nordstrom,SEATTLE - # 1,1,89,
Nordstrom,BELLEVUE - #4,4,89,
Nordstrom,DOWNTOWN PORTLAND - # 20,20,89,
Nordstrom,WASHINGTON SQUARE - # 25,25,89,
Saks Fifth Avenue,DC for .COM,689,185,
Saks Fifth Avenue,Direct - #689 - DC# 185,689,185,
Saks Fifth Avenue,Direct - #689,689,185,
Nordstrom,PARK MEADOWS - #34,34,299,
Nordstrom,OAKBROOK - STORE # 221,221,299,
Nordstrom,MALL OF AMERICA - # 222,222,299,
Nordstrom,OLD ORCHARD - #223,223,299,
Nordstrom,WEST COUNTY,232,299,
Nordstrom,HOUSTON GALLERIA - # 730,730,299,
Nordstrom,SAN DIEGO - #301,301,399,
Nordstrom,WOODBURY - #309,309,399,
Nordstrom,SOUTH COAST PLAZA - # 320,320,399,
Nordstrom,MISSION VIEJO - #326,326,399,
Nordstrom,UNIV TOWN CTR - #361,361,399,
Nordstrom,SCOTTSDALE / FASHION SQUARE - # 380,380,399,
Nordstrom,BROADWAY PLAZA - #421,421,499,
Nordstrom,STANFORD - # 422,422,499,
Nordstrom,VALLEY FAIR - #425,425,499,
Nordstrom,SAN FRANCISCO - #427,427,499,
Nordstrom,ALA MOANA - #706,706,499,
Nordstrom,NORDSTROM DIRECT - # 808,808,599,
Nordstrom,0,808,599,
Nordstrom,ROSS PARK MALL,237,699,
Nordstrom,ROSE PARK MALL,237,699,
Nordstrom,PARAMUS - NEW JERSEY - # 520,520,699,
Nordstrom,MENLO PARK - # 521,521,699,
Nordstrom,PENTAGON CITY - #621,621,699,
Nordstrom,PERIMETER MALL,760,799,
Saks Fifth Avenue,NEW YORK - #1,601,9999,
Saks Fifth Avenue,NEW YORK,601,9999,
Saks Fifth Avenue,Beverly Hills,603,9999,
Saks Fifth Avenue,BEVERLY  HILLS - #3,603,9999,
Saks Fifth Avenue,BEVERLY  HILLS,603,9999,
Saks Fifth Avenue,TYSONS,604,9999,
Saks Fifth Avenue,TYSONS - #4,604,9999,
Saks Fifth Avenue,SANTA BARBARA - #207,607,9999,
Saks Fifth Avenue,SANTA BARBARA,607,9999,
Saks Fifth Avenue,NEW ORLEANS - #8,608,9999,
Saks Fifth Avenue,NEW ORLEANS,608,9999,
Saks Fifth Avenue,PALM BEACH GARDENS - #10,610,9999,
Saks Fifth Avenue,PALM BEACH GARDENS,610,9999,
Saks Fifth Avenue,PALM DESERT - #212,612,9999,
Saks Fifth Avenue,PALM DESERT,612,9999,
Saks Fifth Avenue,BIRMINGHAM - #613,613,9999,
Saks Fifth Avenue,BIRMINGHAM,613,9999,
Saks Fifth Avenue,CINCINNATI - #18,618,9999,
Saks Fifth Avenue,CINCINNATI,618,9999,
Saks Fifth Avenue,Chicago,620,9999,
Saks Fifth Avenue,CHICAGO - #20,620,9999,
Saks Fifth Avenue,TULSA - #21,621,9999,
Saks Fifth Avenue,TULSA,621,9999,
Saks Fifth Avenue,CHEVY CHASE - #23,623,9999,
Saks Fifth Avenue,CHEVY CHASE,623,9999,
Saks Fifth Avenue,Boca Raton,624,9999,Boca Raton
Saks Fifth Avenue,BOCA RATON - #24,624,9999,
Saks Fifth Avenue,PHOENIX - #26,626,9999,
Saks Fifth Avenue,PHOENIX,626,9999,
Saks Fifth Avenue,Troy,628,9999,
Saks Fifth Avenue,TROY - #28,628,9999,
Saks Fifth Avenue,Atlanta,629,9999,
Saks Fifth Avenue,ATLANTA - #29,629,9999,
Saks Fifth Avenue,BOSTON,630,9999,
Saks Fifth Avenue,BOSTON - #30,630,9999,
Saks Fifth Avenue,BALA CYNWYD - #31,631,9999,
Saks Fifth Avenue,BALA CYNWYD,631,9999,
Saks Fifth Avenue,DADELAND - #32,632,9999,
Saks Fifth Avenue,DADELAND,632,9999,
Saks Fifth Avenue,Houston,634,9999,
Saks Fifth Avenue,HOUSTON - #34,634,9999,
Saks Fifth Avenue,SOUTH COAST PLAZA - #36,636,9999,
Saks Fifth Avenue,SOUTH COAST PLAZA,636,9999,
Saks Fifth Avenue,BAL HARBOUR,637,9999,
Saks Fifth Avenue,BAL HARBOUR - #37,637,9999,
Saks Fifth Avenue,BERGEN - #38,638,9999,
Saks Fifth Avenue,ST.LOUIS - #39,639,9999,
Saks Fifth Avenue,ST.LOUIS,639,9999,
Saks Fifth Avenue,BEACHWOOD - #41,641,9999,
Saks Fifth Avenue,BEACHWOOD,641,9999,
Saks Fifth Avenue,PALM BEACH - #43,643,9999,
Saks Fifth Avenue,PALM BEACH,643,9999,
Saks Fifth Avenue,LAS VEGAS - #45,645,9999,
Saks Fifth Avenue,LAS VEGAS,645,9999,
Saks Fifth Avenue,san francisco,646,9999,
Saks Fifth Avenue,SAN FRANCISCO - #46,646,9999,
Saks Fifth Avenue,WALT WHITMAN - #254,654,9999,
Saks Fifth Avenue,WALT WHITMAN,654,9999,
Saks Fifth Avenue,STAMFORD - #56,656,9999,
Saks Fifth Avenue,SAN ANTONIO,657,9999,
Saks Fifth Avenue,SAN ANTONIO - #57,657,9999,
Saks Fifth Avenue,SAN JUAN,659,9999,
Saks Fifth Avenue,Ft. Lauderdale,664,9999,
Saks Fifth Avenue,FT.MEYERS - #92,664,9999,
Saks Fifth Avenue,FT.MEYERS,664,9999,
Saks Fifth Avenue,NAPLES - #69,669,9999,
Saks Fifth Avenue,NAPLES,669,9999,
Saks Fifth Avenue,RICHMOND - #671,671,9999,
Saks Fifth Avenue,RICHMOND,671,9999,
Saks Fifth Avenue,GREENWICH - #72,672,9999,
Saks Fifth Avenue,GREENWICH,672,9999,
Saks Fifth Avenue,Raleigh,673,9999,
Saks Fifth Avenue,RALEIGH - #673,673,9999,
Saks Fifth Avenue,COLUMBUS - #675,675,9999,
Saks Fifth Avenue,COLUMBUS,675,9999,
Saks Fifth Avenue,SHORT HILLS,678,9999,
Saks Fifth Avenue,SHORT HILLS - #78,678,9999,
